=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.05.17 14:46:12 =~=~=~=~=~=~=~=~=~=~=~=
FL: 170 , FR: 59 , SL: 72 , SR: 32
FL: 135 , FR: 50 , SL: 79 , SR: 42
FL: 144 , FR: 53 , SL: 74 , SR: 40
FL: 143 , FR: 71 , SL: 72 , SR: 32
FL: 149 , FR: 79 , SL: 75 , SR: 39
FL: 152 , FR: 107 , SL: 93 , SR: 66
FL: 136 , FR: 60 , SL: 71 , SR: 87
FL: 159 , FR: 49 , SL: 74 , SR: 77
FL: 165 , FR: 68 , SL: 72 , SR: 64
FL: 153 , FR: 63 , SL: 73 , SR: 56
FL: 173 , FR: 55 , SL: 102 , SR: 82
FL: 160 , FR: 71 , SL: 73 , SR: 90
FL: 171 , FR: 667 , SL: 73 , SR: 84
FL: 260 , FR: 342 , SL: 86 , SR: 39
FL: 136 , FR: 202 , SL: 27 , SR: 452
FL: 137 , FR: 201 , SL: 23 , SR: 452
FL: 136 , FR: 202 , SL: 31 , SR: 453
FL: 135 , FR: 202 , SL: 27 , SR: 452
FL: 137 , FR: 202 , SL: 31 , SR: 455
FL: 147 , FR: 201 , SL: 27 , SR: 452
FL: 136 , FR: 201 , SL: 31 , SR: 448
FL: 135 , FR: 202 , SL: 23 , SR: 452
FL: 137 , FR: 202 , SL: 26 , SR: 452
FL: 136 , FR: 202 , SL: 27 , SR: 448
FL: 146 , FR: 198 , SL: 427 , SR: 448
FL: 136 , FR: 226 , SL: 318 , SR: 451
FL: 137 , FR: 198 , SL: 343 , SR: 448
FL: 136 , FR: 202 , SL: 316 , SR: 448
FL: 137 , FR: 201 , SL: 71 , SR: 451
FL: 136 , FR: 202 , SL: 85 , SR: 452
FL: 136 , FR: 202 , SL: 334 , SR: 448
FL: 135 , FR: 201 , SL: 530 , SR: 451
FL: 136 , FR: 201 , SL: 287 , SR: 452
FL: 137 , FR: 197 , SL: 275 , SR: 452
FL: 135 , FR: 202 , SL: 59 , SR: 447
FL: 147 , FR: 198 , SL: 26 , SR: 448
FL: 136 , FR: 203 , SL: 27 , SR: 449
FL: 137 , FR: 205 , SL: 27 , SR: 452
FL: 136 , FR: 492 , SL: 28 , SR: 448
FL: 136 , FR: 218 , SL: 27 , SR: 449
FL: 136 , FR: 209 , SL: 27 , SR: 452
FL: 137 , FR: 194 , SL: 31 , SR: 447
FL: 136 , FR: 193 , SL: 58 , SR: 448
FL: 136 , FR: 194 , SL: 27 , SR: 448
FL: 137 , FR: 270 , SL: 23 , SR: 447
FL: 136 , FR: 190 , SL: 23 , SR: 448
FL: 136 , FR: 194 , SL: 35 , SR: 448
FL: 141 , FR: 191 , SL: 58 , SR: 448
FL: 137 , FR: 190 , SL: 27 , SR: 448
FL: 136 , FR: 189 , SL: 27 , SR: 451
FL: 394 , FR: 190 , SL: 26 , SR: 449
FL: 318 , FR: 190 , SL: 27 , SR: 447
FL: 306 , FR: 190 , SL: 26 , SR: 451
FL: 313 , FR: 190 , SL: 57 , SR: 448
FL: 581 , FR: 213 , SL: 23 , SR: 448
FL: 617 , FR: 190 , SL: 30 , SR: 452
FL: 619 , FR: 190 , SL: 30 , SR: 448
FL: 136 , FR: 191 , SL: 350 , SR: 449
FL: 132 , FR: 190 , SL: 208 , SR: 448
FL: 132 , FR: 191 , SL: 232 , SR: 448
FL: 143 , FR: 189 , SL: 302 , SR: 448
FL: 131 , FR: 214 , SL: 353 , SR: 448
FL: 133 , FR: 190 , SL: 593 , SR: 448
FL: 132 , FR: 190 , SL: 545 , SR: 447
FL: 136 , FR: 190 , SL: 511 , SR: 452
FL: 135 , FR: 190 , SL: 566 , SR: 452
FL: 133 , FR: 217 , SL: 584 , SR: 451
FL: 132 , FR: 194 , SL: 523 , SR: 449
FL: 132 , FR: 194 , SL: 540 , SR: 452
FL: 132 , FR: 194 , SL: 26 , SR: 448
FL: 143 , FR: 648 , SL: 27 , SR: 448
FL: 131 , FR: 648 , SL: 28 , SR: 448
FL: 132 , FR: 648 , SL: 31 , SR: 448
FL: 137 , FR: 672 , SL: 27 , SR: 447
FL: 132 , FR: 647 , SL: 27 , SR: 449
FL: 133 , FR: 644 , SL: 58 , SR: 449
FL: 136 , FR: 647 , SL: 31 , SR: 448
FL: 132 , FR: 647 , SL: 27 , SR: 447
FL: 143 , FR: 647 , SL: 27 , SR: 448
FL: 131 , FR: 648 , SL: 27 , SR: 448
FL: 133 , FR: 648 , SL: 23 , SR: 451
FL: 136 , FR: 646 , SL: 35 , SR: 448
FL: 132 , FR: 194 , SL: 28 , SR: 448
FL: 132 , FR: 190 , SL: 27 , SR: 449
FL: 133 , FR: 194 , SL: 22 , SR: 447
FL: 143 , FR: 217 , SL: 26 , SR: 448
FL: 135 , FR: 194 , SL: 31 , SR: 448
FL: 132 , FR: 194 , SL: 31 , SR: 448
FL: 133 , FR: 193 , SL: 27 , SR: 448
FL: 132 , FR: 190 , SL: 26 , SR: 453
FL: 132 , FR: 194 , SL: 27 , SR: 452
FL: 133 , FR: 194 , SL: 22 , SR: 448
FL: 132 , FR: 193 , SL: 27 , SR: 447
FL: 132 , FR: 217 , SL: 31 , SR: 456
FL: 112 , FR: 225 , SL: 19 , SR: 629
FL: 116 , FR: 237 , SL: 22 , SR: 377
FL: 112 , FR: 249 , SL: 23 , SR: 315
FL: 122 , FR: 248 , SL: 27 , SR: 299
FL: 112 , FR: 245 , SL: 22 , SR: 311
FL: 112 , FR: 245 , SL: 27 , SR: 314
FL: 112 , FR: 246 , SL: 27 , SR: 319
FL: 112 , FR: 246 , SL: 20 , SR: 315
FL: 112 , FR: 274 , SL: 27 , SR: 291
FL: 122 , FR: 249 , SL: 27 , SR: 255
FL: 111 , FR: 249 , SL: 23 , SR: 260
FL: 116 , FR: 249 , SL: 22 , SR: 264
FL: 112 , FR: 248 , SL: 22 , SR: 264
FL: 112 , FR: 250 , SL: 22 , SR: 256
FL: 126 , FR: 249 , SL: 57 , SR: 272
FL: 112 , FR: 249 , SL: 27 , SR: 268
FL: 116 , FR: 250 , SL: 19 , SR: 284
FL: 112 , FR: 246 , SL: 19 , SR: 343
FL: 112 , FR: 234 , SL: 14 , SR: 564
FL: 129 , FR: 210 , SL: 26 , SR: 589
FL: 123 , FR: 206 , SL: 27 , SR: 531
FL: 124 , FR: 205 , SL: 27 , SR: 589
FL: 128 , FR: 204 , SL: 27 , SR: 593
FL: 124 , FR: 230 , SL: 31 , SR: 611
FL: 127 , FR: 206 , SL: 24 , SR: 612
FL: 124 , FR: 206 , SL: 27 , SR: 614
FL: 128 , FR: 209 , SL: 30 , SR: 613
FL: 125 , FR: 211 , SL: 27 , SR: 616
FL: 127 , FR: 206 , SL: 30 , SR: 609
FL: 128 , FR: 206 , SL: 26 , SR: 613
FL: 128 , FR: 206 , SL: 27 , SR: 514
FL: 128 , FR: 205 , SL: 23 , SR: 444
FL: 139 , FR: 205 , SL: 27 , SR: 445
FL: 128 , FR: 205 , SL: 23 , SR: 441
FL: 124 , FR: 205 , SL: 27 , SR: 429
FL: 128 , FR: 205 , SL: 27 , SR: 430
FL: 125 , FR: 206 , SL: 27 , SR: 430
FL: 123 , FR: 210 , SL: 26 , SR: 426
FL: 124 , FR: 210 , SL: 26 , SR: 426
FL: 124 , FR: 209 , SL: 23 , SR: 426
FL: 124 , FR: 209 , SL: 23 , SR: 426
FL: 123 , FR: 234 , SL: 27 , SR: 426
FL: 124 , FR: 210 , SL: 27 , SR: 425
FL: 124 , FR: 210 , SL: 58 , SR: 518
FL: 124 , FR: 210 , SL: 58 , SR: 561
FL: 123 , FR: 210 , SL: 57 , SR: 564
FL: 124 , FR: 209 , SL: 53 , SR: 564
FL: 125 , FR: 210 , SL: 27 , SR: 565
FL: 136 , FR: 210 , SL: 31 , SR: 564
FL: 123 , FR: 210 , SL: 23 , SR: 564
FL: 124 , FR: 210 , SL: 23 , SR: 564
FL: 124 , FR: 209 , SL: 26 , SR: 565
FL: 135 , FR: 209 , SL: 26 , SR: 564
FL: 124 , FR: 209 , SL: 26 , SR: 564
FL: 125 , FR: 209 , SL: 26 , SR: 563
FL: 128 , FR: 208 , SL: 27 , SR: 564
FL: 139 , FR: 233 , SL: 27 , SR: 564
FL: 128 , FR: 205 , SL: 27 , SR: 563
FL: 128 , FR: 207 , SL: 26 , SR: 564
FL: 128 , FR: 207 , SL: 22 , SR: 565
FL: 127 , FR: 206 , SL: 26 , SR: 564
FL: 128 , FR: 206 , SL: 26 , SR: 466
FL: 129 , FR: 209 , SL: 27 , SR: 404
FL: 139 , FR: 209 , SL: 27 , SR: 361
FL: 127 , FR: 208 , SL: 23 , SR: 361
FL: 128 , FR: 233 , SL: 27 , SR: 338
FL: 128 , FR: 209 , SL: 23 , SR: 361
FL: 139 , FR: 214 , SL: 27 , SR: 456
FL: 125 , FR: 218 , SL: 26 , SR: 549
FL: 128 , FR: 218 , SL: 26 , SR: 565
